Time,Channel A,Channel B,Channel C
(us),(V),(V),(V)

3.82799984,-0.01611713,0.00000000,0.00000000
3.83199984,0.00000000,0.00000000,0.00000000
3.83599984,0.00000000,0.00000000,0.00000000
3.83999984,0.00000000,0.00000000,0.00000000
3.84399984,-0.01611713,0.00000000,0.00000000
3.84799984,0.00000000,0.00000000,0.00000000
3.85199984,0.00000000,0.00000000,0.00000000
3.85599984,0.00000000,0.00000000,0.00000000
3.85999984,0.00000000,0.00000000,0.00000000
3.86399984,0.00000000,0.00000000,0.00000000
3.86799984,0.00000000,0.00000000,0.00000000
3.87199984,-0.01611713,0.00000000,0.00000000
3.87599984,0.00000000,0.00000000,0.00000000
3.87999984,0.00000000,0.00000000,0.00000000
3.88399984,0.00000000,0.00000000,0.00000000
3.88799983,0.00000000,0.00000000,0.00000000
3.89199983,0.00000000,0.00000000,0.00000000
3.89599983,0.00000000,0.00000000,0.00000000
3.89999983,-0.01611713,0.00000000,0.00000000
3.90399983,-0.01611713,0.00000000,0.00000000
3.90799983,-0.01611713,0.00000000,0.00000000
3.91199983,0.00000000,0.00000000,0.00000000
3.91599983,0.00000000,0.00000000,0.00000000
3.91999983,0.00000000,0.00000000,0.00000000
3.92399983,0.00000000,0.00000000,0.00000000
3.92799983,0.00000000,0.00000000,0.00000000
3.93199983,0.00000000,0.00000000,0.00000000
3.93599983,0.00000000,0.00000000,0.00000000
3.93999983,0.00000000,0.00000000,0.00000000
3.94399983,0.00000000,0.00000000,0.00000000
3.94799983,0.00000000,0.00000000,0.00000000
3.95199983,-0.01611713,0.00000000,0.00000000
3.95599983,0.00000000,0.00000000,0.00000000
3.95999983,0.00000000,0.00000000,0.00000000
3.96399983,-0.01611713,0.00000000,0.00000000
3.96799983,0.00000000,0.00000000,0.00000000
3.97199983,0.00000000,0.00000000,0.00000000
3.97599983,0.00000000,0.00000000,0.00000000
3.97999983,0.00000000,0.00000000,0.00000000
3.98399983,0.00000000,0.00000000,0.00000000
3.98799983,0.00000000,0.00000000,0.00000000
3.99199983,0.00000000,0.00000000,0.00000000
3.99599983,0.00000000,0.00000000,0.00000000
3.99999983,0.00000000,0.00000000,0.00000000
4.00399983,0.00000000,0.00000000,0.00000000
4.00799983,0.00000000,0.00000000,0.00000000
4.01199983,0.00000000,0.00000000,0.00000000
4.01599983,0.00000000,0.01605561,0.00000000
4.01999983,0.00000000,0.00000000,0.00000000
4.02399983,0.00000000,0.00000000,0.00000000
4.02799983,0.00000000,0.00000000,0.00000000
4.03199983,-0.01611713,0.00000000,0.00000000
4.03599983,0.00000000,0.00000000,0.00000000
4.03999983,0.00000000,0.00000000,0.00000000
4.04399983,0.00000000,0.00000000,0.00000000
4.04799983,0.00000000,0.00000000,0.00000000
4.05199983,0.00000000,0.00000000,0.00000000
4.05599983,0.00000000,0.00000000,0.00000000
4.05999983,0.00000000,0.00000000,0.00000000
4.06399983,0.00000000,0.00000000,0.00000000
4.06799983,0.00000000,0.00000000,0.00000000
4.07199983,0.00000000,0.00000000,0.00000000
4.07599983,0.00000000,0.00000000,0.00000000
4.07999983,0.00000000,0.00000000,0.00000000
4.08399983,0.00000000,0.00000000,0.00000000
4.08799983,0.00000000,0.00000000,0.00000000
4.09199983,0.00000000,0.00000000,0.00000000
4.09599983,0.00000000,0.00000000,0.00000000
4.09999983,0.00000000,0.00000000,0.00000000
4.10399983,-0.01611713,0.00000000,0.00000000
4.10799983,0.00000000,0.00000000,0.00000000
4.11199983,0.00000000,0.00000000,0.00000000
4.11599983,0.00000000,0.01605561,0.00000000
4.11999983,0.00000000,0.00000000,0.00000000
4.12399983,0.00000000,0.01605561,0.00000000
4.12799983,0.00000000,0.00000000,0.00000000
4.13199983,0.00000000,0.00000000,0.00000000
4.13599983,0.00000000,0.00000000,-0.01605561
4.13999983,0.00000000,0.00000000,0.00000000
4.14399983,0.00000000,0.00000000,0.00000000
4.14799983,-0.01611713,0.00000000,0.00000000
4.15199983,0.00000000,0.00000000,0.00000000
4.15599983,-0.01611713,0.00000000,0.00000000
4.15999983,0.00000000,0.00000000,0.00000000
4.16399983,-0.01611713,0.00000000,0.00000000
4.16799983,0.00000000,0.00000000,0.00000000
4.17199983,0.00000000,0.00000000,0.00000000
4.17599983,0.00000000,0.00000000,0.00000000
4.17999983,0.00000000,0.00000000,0.00000000
4.18399983,0.00000000,0.00000000,0.00000000
4.18799983,0.00000000,0.00000000,0.00000000
4.19199983,0.00000000,0.00000000,0.00000000
4.19599983,0.00000000,0.00000000,0.00000000
4.19999983,0.00000000,0.00000000,0.00000000
4.20399983,0.00000000,0.00000000,0.00000000
4.20799983,0.00000000,0.00000000,0.00000000
4.21199983,0.00000000,0.00000000,0.00000000
4.21599983,0.00000000,0.00000000,0.00000000
4.21999983,0.00000000,0.00000000,0.00000000
4.22399983,0.00000000,0.00000000,0.00000000
4.22799983,0.00000000,0.01605561,0.00000000
4.23199983,0.00000000,0.00000000,0.00000000
4.23599983,0.00000000,0.00000000,0.00000000
4.23999983,0.00000000,0.00000000,0.00000000
4.24399982,0.00000000,0.00000000,0.00000000
4.24799982,0.00000000,0.00000000,0.00000000
4.25199982,0.00000000,0.01605561,0.00000000
4.25599982,0.00000000,0.00000000,0.00000000
4.25999982,0.00000000,0.00000000,0.00000000
4.26399982,0.00000000,0.00000000,0.00000000
4.26799982,0.00000000,0.00000000,0.00000000
4.27199982,0.00000000,0.00000000,0.00000000
4.27599982,0.00000000,0.00000000,0.00000000
4.27999982,0.00000000,0.00000000,0.00000000
4.28399982,0.00000000,0.00000000,0.00000000
4.28799982,0.00000000,0.00000000,0.00000000
4.29199982,0.00000000,0.00000000,0.00000000
4.29599982,0.00000000,0.00000000,0.00000000
4.29999982,0.00000000,0.00000000,0.00000000
4.30399982,0.00000000,0.00000000,0.00000000
4.30799982,0.00000000,0.00000000,0.00000000
4.31199982,0.00000000,0.00000000,0.00000000
4.31599982,0.00000000,0.00000000,0.00000000
4.31999982,0.00000000,0.00000000,0.00000000
4.32399982,0.00000000,0.00000000,0.00000000
4.32799982,0.00000000,0.00000000,0.00000000
4.33199982,0.00000000,0.00000000,0.00000000
4.33599982,0.00000000,0.00000000,0.00000000
4.33999982,0.00000000,0.00000000,0.00000000
4.34399982,0.00000000,0.00000000,0.00000000
4.34799982,-0.01611713,0.00000000,0.00000000
4.35199982,0.00000000,0.00000000,0.00000000
4.35599982,0.00000000,0.00000000,0.00000000
4.35999982,0.00000000,0.00000000,0.00000000
4.36399982,0.00000000,0.01605561,0.00000000
4.36799982,0.00000000,0.00000000,0.00000000
4.37199982,0.00000000,0.00000000,0.00000000
4.37599982,0.00000000,0.00000000,0.00000000
4.37999982,0.00000000,0.00000000,0.00000000
4.38399982,0.00000000,0.00000000,0.00000000
4.38799982,0.00000000,0.00000000,0.00000000
4.39199982,0.00000000,0.00000000,0.00000000
4.39599982,-0.01611713,0.00000000,0.00000000
4.39999982,0.00000000,0.00000000,0.00000000
4.40399982,0.00000000,0.00000000,0.00000000
4.40799982,0.00000000,0.00000000,0.00000000
4.41199982,0.00000000,0.00000000,0.00000000
4.41599982,0.00000000,0.00000000,0.00000000
4.41999982,0.00000000,0.00000000,0.00000000
4.42399982,0.00000000,0.00000000,0.00000000
4.42799982,0.00000000,0.00000000,0.00000000
4.43199982,0.00000000,0.00000000,0.00000000
4.43599982,0.00000000,0.00000000,0.00000000
4.43999982,0.00000000,0.00000000,0.00000000
4.44399982,-0.01611713,0.00000000,0.00000000
4.44799982,0.00000000,0.00000000,0.00000000
4.45199982,0.00000000,0.00000000,0.00000000
4.45599982,-0.01611713,0.00000000,0.00000000
